Plo_nb,Plot,Grid_Uksystem,Plant species,Cover_percentage,
7,I4,ST123401200,Betula sp.,0.83,
7,I4,ST123401200,Calluna vulgaris,56.67,
7,I4,ST123401200,Erica cinerae,13.83,
7,I4,ST123401200,Pteridium aquilinum,23.33,
7,I4,ST123401200,Gaultheria shallon,34.67,
7,I4,ST123401200,Erica tetralix,0.17,
7,I4,ST123401200,Pinus ,9.17,
4,I5,ST123001400,Calluna vulgaris,73.00,
4,I5,ST123001400,Erica cinerae,15.00,
4,I5,ST123001400,Betula sp.,1.14,
4,I5,ST123001400,Ulex minor,1.00,
4,I5,ST123001400,Pinus ,1.21,
4,I5,ST123001400,Pteridium aquilinum,12.14,
4,I5,ST123001400,Gaultheria shallon,17.00,
5,I6,ST121501520,Calluna vulgaris,57.14,
5,I6,ST121501520,Erica cinerae,27.86,
5,I6,ST121501520,Betula sp.,1.43,
5,I6,ST121501520,Ulex europaeus,0.10,
5,I6,ST121501520,Ulex minor,7.14,
5,I6,ST121501520,Pinus ,1.43,
5,I6,ST121501520,Pteridium aquilinum,12.86,
5,I6,ST121501520,Gaultheria shallon,29.50,
1,C2,ST125001300,Calluna vulgaris,80.00,
1,C2,ST125001300,Erica cinerae,15.00,
1,C2,ST125001300,Betula sp.,0.29,
1,C2,ST125001300,Ulex minor,2.14,
1,C2,ST125001300,Pinus ,5.14,
1,C2,ST125001300,Pteridium aquilinum,1.00,
1,C2,ST125001300,Gaultheria shallon,0.14,
8,I2,ST126801405,Gaultheria shallon,79.17,
2,C5,ST124001475,Gaultheria shallon,0.42,
2,C5,ST124001475,Pteridium aquilinum ,8.14,
2,C5,ST124001475,Pinus,3.00,
2,C5,ST124001475,Ulex minor,8.43,
2,C5,ST124001475,Betula sp.,0.14,
2,C5,ST124001475,Erica cinerae,8.00,
2,C5,ST124001475,Calluna vulgaris,90.00,
8,I2,ST126801405,Betula sp.,4.57,
8,I2,ST126801405,Calluna vulgaris,15.00,
8,I2,ST126801405,Erica cinerae,8.00,
8,I2,ST126801405,Pteridium aquilinum ,15.00,
8,I2,ST126801405,Gaultheria shallon,79.17,
8,I2,ST126801405,Pinus,0.71,
8,I2,ST126801405,Rhododendron ponticum ,0.29,
6,I3,ST121501520,Betula sp.,4.79,
6,I3,ST121501520,Calluna vulgaris,65.00,
6,I3,ST121501520,Erica cinerae,7.00,
6,I3,ST121501520,Pteridium aquilinum ,19.57,
6,I3,ST121501520,Gaultheria shallon,30.00,
6,I3,ST121501520,Erica tetralix,3.86,
6,I3,ST121501520,Pinus,4.00,
6,I3,ST121501520,Rhododendron ponticum ,1.00,
6,I3,ST121501520,Ulex minor,3.71,
3,I1,ST124101600,Calluna vulgaris,75.00,
3,I1,ST124101600,Erica cinerae,5.00,
3,I1,ST124101600,Erica tetralix,5.00,
3,I1,ST124101600,Betula sp.,3.00,
3,I1,ST124101600,Cytisus scoparius,0.71,
3,I1,ST124101600,Ulex europaeus,0.71,
3,I1,ST124101600,Ulex minor,10.00,
3,I1,ST124101600,Rubus fruticosus,0.14,
3,I1,ST124101600,Pinus,5.57,
3,I1,ST124101600,Pteridium aquilinum ,9.29,
3,I1,ST124101600,Gaultheria shallon,9.67,
